%Latitude,Longitude,PSX(m),PSY(m),elevation_WGS84(m),elevation_uncertainty(m),free-air_disturbance(mGal),uncertainty_free-air(mGal)
-84.1159911775004,-164.631260128343,-169579.936,-616970.667,57.904,0.05,-36.26,0.017
-84.1520005680692,-164.483589468709,-170120.225,-612752.144,60.8,0.038,-38.254,0.023
-84.2030153209325,-164.689650255709,-166448.19,-608000.579,51.477,0.099,-45.064,0.031
-84.21339,-164.43695,-168824.941,-606171.985,51.691,NaN,-39.731,0.021
-84.181760905759,-165.191768261751,-161705.275,-611674.057,50.567,0.025,-50.588,0.039
-84.171066861593,-165.442773023186,-159316.847,-613504.018,50.281,0.082,-51.557,0.057
-84.1456043544775,-165.336103090326,-161160.857,-615889.484,50.458,0.022,-49.987,0.029
-84.1310185346304,-164.982978364795,-165365.276,-616419.041,51.736,0.054,-40.292,0.039
-84.1055643434615,-164.880034190324,-167195.762,-618797.612,55.093,0.042,-38.038,0.027
-84.0949710425975,-165.126864384783,-164824.627,-620627.407,50.155,0.064,-39.622,0.034
-84.1204285155942,-165.231550971323,-162983.501,-618246.09,51.328,0.019,-42.986,0.047
-84.1564416992632,-165.087217003581,-163530.892,-614042.918,51.123,0.076,-47.232,0.053
