Name,Absolute Gravity,Standard Error,Number of Observations,Latitude,Longitude,Elevation,Ellipsoidal gravity,Free air effect,Free air anomaly
g29,982953.516,0.173,2,-79.162113,165.310868,0,983034.4996,0,-80.98359414
g3,982953.888,0.173,2,-79.191597,164.977308,0,983035.4881,0,-81.60005501
g30,982954.493,0.173,2,-79.170462,165.321087,0,983034.7798,0,-80.28675712
g31,982956.204,0.173,2,-79.178965,165.332113,0,983035.0649,0,-78.86087668
g32,982957.065,0.173,2,-79.187402,165.34148,0,983035.3476,0,-78.28257256
g33,982957.444,0.173,2,-79.196182,165.34899,0,983035.6415,0,-78.19753848
g34,982958.054,0.173,2,-79.203553,165.356982,0,983035.8882,0,-77.83415376
g35,982959.08,0.174,2,-79.200002,165.44883,0,983035.7694,0,-76.68936615
g36,982958.181,0.174,2,-79.192597,165.440433,0,983035.5215,0,-77.34053542
g37,982957.239,0.16,4,-79.183987,165.431015,0,983035.2332,0,-77.99417251
g38,982956.179,0.173,2,-79.175053,165.422998,0,983034.9337,0,-78.75472735
g39,982954.763,0.174,2,-79.166322,165.414995,0,983034.6409,0,-79.877859
g4,982954.047,0.164,3,-79.199947,164.986898,0,983035.7675,0,-81.720526
g40,982953.221,0.174,2,-79.157912,165.404903,0,983034.3585,0,-81.13754573
g41,982952.002,0.174,2,-79.149245,165.395675,0,983034.0674,0,-82.06538728
g42,982951.436,0.174,2,-79.145712,165.48373,0,983033.9486,0,-82.5126365
g43,982952.698,0.174,2,-79.154238,165.492808,0,983034.2351,0,-81.53714871
g44,982954.651,0.174,2,-79.162648,165.503183,0,983034.5176,0,-79.86655301
g45,982956.302,0.159,4,-79.171093,165.514233,0,983034.8009,0,-78.4989229
g46,982957.283,0.174,2,-79.179523,165.523598,0,983035.0836,0,-77.80057989
g47,982958.808,0.174,2,-79.18895,165.532372,0,983035.3994,0,-76.59141813
g48,982961.884,0.164,3,-79.192993,165.627397,0,983035.5348,0,-73.65079285
g49,982960.39,0.16,4,-79.185677,165.62053,0,983035.2898,0,-74.8997906
g5,982954.91,0.173,2,-79.208455,164.996217,0,983036.0521,0,-81.14207379
g50,982958.33,0.174,2,-79.177132,165.610195,0,983035.0034,0,-76.67343119
g51,982956.487,0.173,2,-79.168548,165.60107,0,983034.7155,0,-78.22854818
g52,982954.695,0.174,2,-79.16011,165.59031,0,983034.4324,0,-79.73734998
g53,982953.097,0.174,2,-79.151655,165.580025,0,983034.1484,0,-81.05137083
g54,982950.808,0.174,2,-79.143033,165.570953,0,983033.8586,0,-83.05056575
g6,982955.032,0.173,2,-79.216585,165.004507,0,983036.3238,0,-81.29178008
g7,982955.486,0.173,2,-79.21342,165.093887,0,983036.218,0,-80.73202829
g8,982955.534,0.173,2,-79.20489,165.084548,0,983035.9329,0,-80.39886929
g9,982954.97,0.173,2,-79.196557,165.076167,0,983035.6541,0,-80.68408891
r1,982949.869,0.172,2,-79.163705,164.942473,0,983034.553,0,-84.68403189
r10,982956.367,0.172,2,-79.185643,165.388355,0,983035.2887,0,-78.92165162
r11,982956.775,0.172,2,-79.18803,165.438022,0,983035.3686,0,-78.59360637
r12,982957.589,0.172,2,-79.190488,165.488017,0,983035.4509,0,-77.86192179
r13,982958.677,0.172,2,-79.192862,165.537603,0,983035.5304,0,-76.85340724
r14,982953.355,0.173,2,-79.123612,166.010813,0,983033.205,0,-79.84997964
r15,982955.147,0.173,2,-79.126097,166.062995,0,983033.2887,0,-78.14167075
r16,982957.454,0.173,2,-79.128293,166.110368,0,983033.3626,0,-75.90861363
r17,982959.565,0.173,2,-79.130792,166.1629,0,983033.4467,0,-73.88174174
r18,982960.888,0.173,2,-79.133258,166.214705,0,983033.5297,0,-72.64174089
r19,982963.948,0.173,2,-79.135367,166.262508,0,983033.6007,0,-69.65271013
r2,982950.954,0.172,2,-79.166205,164.991777,0,983034.6369,0,-83.68293288
r20,982966.412,0.173,2,-79.137825,166.314368,0,983033.6834,0,-67.27140693
r22,982970.065,0.173,2,-79.1423,166.413485,0,983033.8339,0,-63.76891785
r3,982951.744,0.172,2,-79.168597,165.0412,0,983034.7172,0,-82.97319211
r4,982952.768,0.172,2,-79.171088,165.09079,0,983034.8008,0,-82.03275519
r5,982953.225,0.172,2,-79.173467,165.139612,0,983034.8805,0,-81.65554405
r6,982953.379,0.172,2,-79.17597,165.19003,0,983034.9645,0,-81.58547371
r7,982954.134,0.158,4,-79.178352,165.239247,0,983035.0443,0,-80.91032891
r8,982955.453,0.158,4,-79.180953,165.288472,0,983035.1315,0,-79.67850686
r9,982955.95,0.172,2,-79.18326,165.338758,0,983035.2088,0,-79.2588141
x1,982963.34,0.173,2,-79.112772,166.326215,0,983032.8397,0,-69.49969189
x2,982964.33,0.173,2,-79.121382,166.335382,0,983033.1299,0,-68.79986107
x3,982966.633,0.173,2,-79.129795,166.34551,0,983033.4132,0,-66.78018023
x4r21,982968.316,0.173,2,-79.139907,166.358085,0,983033.7534,0,-65.43743968
x5,982969.233,0.173,2,-79.146705,166.365837,0,983033.982,0,-64.74901681
x6,982970.514,0.173,2,-79.15519,166.375162,0,983034.2671,0,-63.75312694
x7,982972.733,0.173,2,-79.162287,166.383223,0,983034.5054,0,-61.77243506
