Station,Latitude,Longitude,Gobs,Glat,FA
2039,-82.63859981,-155.7047583,982959.4442,983110.3922,-150.9479776
2041,-82.6380998,-155.739663,982960.1659,983110.3808,-150.2149006
2043,-82.63760648,-155.7746128,982960.868,983110.3695,-149.5015339
1071,-82.64465771,-155.4196785,982957.4118,983110.5302,-153.1184796
KIS,-82.79056,-155.55875,982977.3359,983113.8221,-136.4862282
3627,-82.7902418,-154.7203014,982977.4377,983113.815,-136.3773486
3623,-82.78946449,-154.7896018,982977.2265,983113.7977,-136.5711465
3619,-82.78867427,-154.858967,982976.5353,983113.78,-137.2446662
3615,-82.78787866,-154.9284267,982976.4999,983113.7622,-137.2623563
3611,-82.78708578,-154.9973743,982976.3404,983113.7445,-137.4040866
3606,-82.78630567,-155.0657201,982976.2645,983113.7271,-137.4625625
3602,-82.78552179,-155.1342974,982975.9015,983113.7095,-137.8080312
3522,-82.78473616,-155.2029392,982974.3753,983113.692,-139.3166924
3518,-82.78394118,-155.2714137,982973.3715,983113.6742,-140.3026988
3514,-82.78394118,-155.2714137,982972.8321,983113.6742,-140.8420493
KIS,-82.79056,-155.55875,982977.3531,983113.6565,-136.3033747
KIS,-82.79056,-155.55875,982977.62,983113.6389,-136.018912
3514,-82.78315068,-155.3390425,982973.2326,983113.6215,-140.3888662
3510,-82.78236349,-155.4068533,982972.9545,983113.6048,-140.6503119
3506,-82.7815834,-155.4748996,982972.1111,983113.5882,-141.4771002
3502,-82.78083762,-155.5414534,982970.8783,983113.572,-142.6937416
3321,-82.78009795,-155.6078329,982970.0565,983113.5559,-143.4994178
3317,-82.77937357,-155.6742218,982969.5208,983113.54,-144.0191821
3313,-82.77865351,-155.7409487,982965.1858,983113.5241,-148.3383659
3255,-82.77794122,-155.8081543,982961.591,983113.8221,-152.2311522
3243,-82.77723338,-155.8755159,982959.3713,983113.8221,-154.4508762
