x,y,MissionID,Latitude,Longitude,IceThickness,SurfaceElevation,WaterColumnThickness,BedElevation
1601.11104349,-1183701.28227,19,-79.13695,179.9225,328,-9999,445,-730
158258.721389,-945463.400365,19,-81.19389,170.4975,356,-9999,425,-727
175955.794953,-1006449.14236,1,-80.61667,170.0833,360,57,278,-581
116392.197891,-855233.696779,1,-82.06834,172.25,380,58,373,-695
-239323.540072,-1206825.95821,1,-78.71167,-168.7833,350,54,273,-569
-103320.898599,-870532.630314,19,-81.94444,-173.2314,362,-9999,414,-722
-328408.332503,-925255.872778,19,-80.98167,-160.4583,539,-9999,13,-479
-327295.408647,-979603.136944,19,-80.515,-161.525,581,-9999,135,-638
-218930.353072,-982118.961194,19,-80.75833,-167.4333,446,-9999,78,-461
-317936.395302,-1087257.67974,19,-79.60167,-163.7,320,-9999,133,-403
-337783.505082,-1013135.30364,19,-80.19389,-161.5614,615,-9999,152,-685
-3082.82109342,-870965.976395,19,-81.99639,-179.7972,408,-9999,129,-477
169492.402956,-870607.95841,19,-81.85,168.9833,368,-9999,539,-852
-51363.6692529,-985573.509486,19,-80.935,-177.0167,345,-9999,364,-657
108155.597386,-984877.271442,19,-80.89944,173.7331,307,-9999,432,-691
-55326.0492144,-1023683.75639,19,-80.585,-176.9064,370,-9999,315,-631
67180.4866549,-1038866.55678,19,-80.44,176.3,360,-9999,450,-756
-104954.707282,-1086676.31584,19,-79.97667,-174.4833,379,-9999,210,-533
949.400561462,-1094499.6297,19,-79.95139,179.9503,382,-9999,360,-685
159438.085718,-1084545.35583,19,-79.93584,171.6369,395,-9999,233,-570
107998.078481,-1143736.08209,19,-79.45528,174.6058,341,-9999,232,-521
-316755.706913,-1200263.20586,19,-78.61111,-165.2164,336,-9999,181,-466
-159585.568173,-1198335.50838,19,-78.90694,-172.4144,336,-9999,153,-438
56794.5646219,-1198281.03571,19,-78.99167,177.2864,325,-9999,411,-686
-162545.22318,-1252059.2792,19,-78.41778,-172.6031,303,-9999,188,-445
3622.75140199,-1255703.50676,19,-78.48028,179.8347,302,-9999,519,-774
163967.046095,-1251597.21809,19,-78.42028,172.5364,353,-9999,551,-841
