lon,lat,shape_num,x,y
-158.818476,-78.017662,0,-472064.01785297145,-1218218.7110643135
-157.684625,-78.397282,0,-480255.9900831121,-1170090.6471101663
-156.311424,-78.891048,0,-486400.00347588706,-1108650.683237751
-154.775701,-79.282263,0,-497664.01053495717,-1056426.6902000275
-152.99299,-79.464613,0,-521216.0200268705,-1022634.7113133095
-151.648449,-79.706654,0,-532480.0197703661,-986794.7004496896
-151.144339,-80.180768,0,-516096.01773339865,-936618.707346927
-151.344234,-80.508808,0,-495616.0070329269,-906922.6755903194
-152.701534,-80.69022,0,-464895.98548369325,-900778.6433959205
-154.161947,-80.828466,0,-435199.98008102196,-898730.6291464163
-156.660223,-80.978353,0,-389120.01340888673,-901802.7079491775
-157.717788,-81.11873,0,-366592.00056195864,-894634.688137583
-158.364452,-81.350463,0,-347136.01603733836,-875178.6917405925
-157.729545,-81.534735,0,-349184.0194451659,-852650.7137497594
-156.199271,-81.653571,0,-366591.9837707931,-831146.6512673208
-155.830487,-81.979218,0,-357376.0023266177,-796330.6617536354
-155.38522,-82.250253,0,-351232.01263918827,-766634.7009272961
-155.020476,-82.444897,0,-347135.9968707013,-745130.6657609618
-156.693705,-82.767758,0,-311296.0141071258,-722602.711748311
-158.716381,-82.972218,0,-277504.0012725329,-712362.6733047813
-162.125303,-83.099343,0,-230399.99629252736,-714410.6695620406
-166.597909,-83.05514,0,-175103.9852007889,-734890.6285029476
-169.616497,-82.845199,0,-140288.00188688844,-765610.6851219469
-172.464809,-82.607354,0,-105471.99294355573,-797354.6417746628
-175.174628,-82.503725,0,-68608.0020872646,-812714.7048538773
-176.679729,-82.686945,0,-46080.00136660761,-794282.6174567039
-174.760796,-83.092946,0,-68608.00307705574,-748202.716590051
-172.604319,-83.490421,0,-91135.98911151604,-702122.6284226602
-169.758957,-83.697972,0,-121855.99666102963,-674474.6301373389
-169.098287,-84.12472,0,-120831.99820305871,-627370.6547343958
-170.81162,-84.279518,0,-99328.00663044509,-614058.6843567478
-175.998301,-84.197651,0,-44031.996370454886,-629418.6679220524
178.420231,-83.85224,0,18431.999146656522,-668330.7035877524
173.944122,-83.574451,0,73727.99505282375,-694954.6724126528
171.195773,-83.17297,0,113664.00403536837,-733866.6823942154
169.164484,-82.939807,0,144383.9873514019,-754346.6350579065
167.489561,-82.570177,0,175104.00243317473,-789162.6536276556
165.70842,-82.147106,0,210943.9813756042,-828074.6212156076
163.567775,-81.68496,0,255999.9952434093,-868010.6310718466
162.082965,-81.224249,0,293888.0049198725,-908970.6807481245
161.818379,-80.806769,0,312320.00969402335,-950954.679576883
162.424012,-80.346824,0,317439.99900125805,-1002154.684651346
161.945006,-79.838739,0,343040.00995510776,-1052330.7024313442
162.527293,-79.26388,0,351232.0074252687,-1115818.6960509056
163.489233,-79.05537,0,338944.0059232476,-1143466.671144034
164.909471,-78.812174,0,317440.0058268043,-1177258.6606850177
166.265125,-78.87959,0,287744.0100334149,-1177258.6995945268
167.858297,-78.787581,0,257023.9846604704,-1194666.6371765425
168.593991,-78.645909,0,244735.99776525397,-1213098.6601052557
168.69611,-78.354877,0,248831.99511375738,-1244842.6298164967
168.442841,-77.906579,0,264192.0099212445,-1291946.690097953
169.617865,-77.755171,0,240640.00458035147,-1313450.7010155104
170.761452,-77.485463,0,219135.9912597844,-1347242.6889309639
