lon,lat,shape_num,x,y
-151.874964,-82.317226,0,-394066.7243304369,-737245.872454231
-157.304772,-82.614126,0,-310037.4692091766,-741341.8538146772
-163.14655,-82.899167,0,-223958.72340158804,-739293.8509156725
-168.914263,-83.064948,0,-145053.21268894186,-740317.8569076605
-176.065524,-83.196845,0,-50776.5056577645,-738269.8798150895
176.77306,-83.230312,0,41450.71481538912,-735197.8503982853
170.767968,-83.162039,0,119331.47267721454,-734173.8539940197
168.508397,-83.122244,0,149049.14259694942,-733149.9040439336
