lon,lat,shape_num,x,y
171.031031,-77.327422,0,215503.0802893825,-1365418.6427729183
170.805999,-77.574341,0,216527.83185521563,-1337770.6836378672
170.513606,-77.838033,0,218577.31488756006,-1308074.673413088
169.903067,-78.242085,0,224725.8020140696,-1261994.723608537
169.123237,-78.526203,0,235998.00921460974,-1228202.6594089821
168.429121,-78.689341,0,247270.22139997318,-1207722.6323263648
166.90255,-78.949642,0,272888.9004647982,-1172906.6524604715
165.823522,-79.198042,0,288260.118508331,-1141162.6874054978
164.486298,-79.509677,0,305680.81223135634,-1101226.6779391572
163.087412,-79.836048,0,322076.76288364467,-1059242.7257544883
162.364343,-80.022049,0,329249.9896435838,-1035690.7141654317
160.935523,-80.196969,0,348720.18820270395,-1009066.6901674166
159.331854,-80.287831,0,373314.1212236828,-989610.7142212322
157.999591,-80.421727,0,390734.77777578216,-967082.6358628535
157.020133,-80.56755,0,400982.26771768625,-945578.6894831385
