lon,lat,shape_num,x,y
166.817177,-78.957812,0,274432.011989764,-1171626.681049359
166.171101,-79.187815,0,281599.99062279426,-1143978.6246983476
165.411194,-79.402731,0,290815.9809965843,-1117354.6301180315
164.647253,-79.597755,0,300031.99492046214,-1092778.6510545374
163.738036,-79.794688,0,311295.9983430682,-1067178.6592159676
162.872328,-79.944328,0,322560.0002921998,-1046698.6581378101
161.825576,-80.082927,0,336896.0119644432,-1026218.7130128806
160.504946,-80.223407,0,355327.9998854757,-1003690.6619117924
158.937783,-80.345202,0,377855.9870914943,-981162.632046792
157.549464,-80.494895,0,395263.9921459302,-956586.6575608468
155.976784,-80.690234,0,412672.0181629531,-925866.6986458241
154.699908,-80.822785,0,427007.987215091,-903338.6267056726
153.492707,-80.959064,0,439296.0080948066,-880810.6965380012
