lon,lat,shape_num,x,y
-157.059766,-78.048631,0,-507903.98616236367,-1200025.5786598166
-158.9708,-78.377346,0,-454656.0206769799,-1182617.6189947594
-160.737521,-78.665466,0,-407552.0200137662,-1166233.6326182778
-162.846154,-78.849901,0,-358400.0018999703,-1161113.5809601508
-164.794786,-78.929706,0,-316415.9777080656,-1164185.5444867758
-167.576243,-78.993362,0,-258048.00944194436,-1171353.624388782
-171.330995,-78.96546,0,-181248.00013691458,-1188761.5687755174
-173.578862,-78.909525,0,-135167.98569224327,-1201049.5441057316
-177.412446,-78.761828,0,-55295.99663034627,-1223577.5649659375
178.445352,-78.572971,0,33791.996515636194,-1245081.5905914027
174.981614,-78.402308,0,110592.00567634826,-1259417.552204122
172.095988,-78.251614,0,176127.99649954092,-1268633.5489264543
169.978105,-78.126541,0,225280.00785886354,-1274777.59730959
168.061673,-78.059297,0,269312.00661733653,-1273753.6155092246
167.308722,-78.07303,0,285696.0166530126,-1268633.6419099942
