lon,lat,shape_num,x,y
176.283617,-80.424983,0,67584.00412660769,-1040486.4517422853
175.093193,-80.654371,0,87040.00609563317,-1013862.3932364265
173.712758,-80.896204,0,108543.99517472822,-985190.4201099161
172.365603,-81.219906,0,126976.00243278482,-947302.4037686415
171.077504,-81.447409,0,144384.00253020637,-919654.4391606027
169.835449,-81.68299,0,159744.0105412833,-890982.4502283365
168.963489,-81.840882,0,169983.99810237793,-871526.4136466213
167.027088,-81.99397,0,195584.00508640928,-848998.4564762921
165.866095,-82.099994,0,209920.01501086957,-833638.4444275671
164.722408,-82.214236,0,223231.9972729262,-817254.3990342424
163.505142,-82.343305,0,236543.997880466,-798822.4043945994
161.634724,-82.412965,0,260095.99151936668,-783462.3762220291
160.300464,-82.461593,0,276480.003856852,-772198.4086762088
