lon,lat,shape_num,x,y
166.661718,-79.569631,0,262144.01074286917,-1105646.9854751944
165.897216,-79.661107,0,274431.99593953637,-1092334.9306827898
165.105626,-79.75977,0,286719.9835201112,-1077998.8866761927
164.466416,-79.85501,0,295935.99291203433,-1064686.937447209
163.962541,-79.927213,0,303103.99491809437,-1054446.9337583107
163.106295,-79.970835,0,317439.9994618744,-1045230.9184743384
162.277683,-80.023973,0,330751.99687562895,-1034990.9556826088
161.181154,-80.119204,0,347136.0183231909,-1018606.984179683
159.988266,-80.245961,0,363519.9967543464,-998126.9137987262
158.712242,-80.365026,0,380928.00107363594,-977646.9579091838
157.626421,-80.464025,0,395264.00931190717,-960238.9471199539
156.282209,-80.624452,0,410624.0126525046,-934638.976207012
154.84209,-80.796556,0,425984.02163467207,-906990.9832305427
