lon,lat,shape_num,x,y
172.964107,-78.724781,0,150527.98727783916,-1219635.155985705
172.389707,-78.861073,0,160767.9989320583,-1203251.1816407703
171.594795,-78.943296,0,176127.99620753372,-1191987.148436833
170.69125,-79.020375,0,193535.99726002707,-1180723.2154021938
169.7616,-79.056276,0,211967.99142282287,-1173555.1856635048
169.13348,-79.034034,0,225280.01399835045,-1173555.2190388204
168.266305,-79.04872,0,242687.9950146689,-1168435.1884734416
167.396986,-79.060906,0,260095.9963560757,-1163315.1444663974
166.633164,-79.065832,0,275455.9985801287,-1159219.1787595146
165.6535,-79.077744,0,294912.00082743383,-1153075.1961153566
164.698011,-79.068454,0,314368.0004143347,-1148979.1572172204
163.845119,-79.090883,0,330751.98812346073,-1141811.157287452
162.814537,-79.090982,0,351231.9847355568,-1135667.1571958098
161.847294,-79.111156,0,369664.0070330633,-1127475.2139165187
161.018709,-79.107841,0,386047.9828022363,-1122355.163399656
160.366875,-79.064594,0,400384.0050759678,-1122355.174470415
